municipality,cz,size
34210,299,25193
34211,300,15006
34212,297,50549
34213,296,31057
34214,299,17536
34215,296,15142
34302,296,18903
34304,296,11887
34307,296,8149
34309,296,5202
34368,296,5752
34369,296,11124
34431,297,5626
34462,297,10389
34545,301,8265
35201,302,127772
35202,302,71014
35203,302,71999
35204,303,31673
35206,302,43499
35207,304,21403
35208,300,65138
35210,304,21694
35211,303,21391
35212,304,17161
35213,302,16486
35215,304,66621
35216,302,27398
35305,305,12047
35321,300,2878
35341,304,2463
35343,304,6851
35344,304,5546
35502,303,2840
36201,306,98354
36202,306,26537
36203,307,17541
36204,307,33125
36205,306,19944
36206,306,18243
36207,308,16661
36208,308,19658
36301,307,3359
36302,309,1261
36321,306,1924
36341,306,9976
36342,306,5092
36368,307,6445
36383,310,2833
36387,310,4460
36388,310,5533
36401,306,3820
36402,306,6862
36403,306,7819
36404,306,5091
36405,306,5153
36468,308,7210
36489,308,6928
37201,311,156069
37202,311,38379
37203,311,27628
37204,311,14425
37205,311,29793
37206,311,23128
37207,311,17850
37208,311,35212
37322,312,8887
37324,312,9070
37341,311,10726
37364,292,2081
37386,311,4541
37387,311,10866
37403,311,5685
37404,311,9568
37406,311,10191
38201,313,162711
38202,314,74981
38203,315,44330
38204,316,21951
38205,314,48970
38206,314,42952
38207,317,23799
38210,313,17073
38213,314,38903
38214,316,23214
38215,313,11184
38356,298,4329
38386,318,6547
38401,313,10157
38402,313,7027
38422,317,10898
38442,316,7004
38484,315,2445
38488,315,6537
38506,319,12851
39201,320,130776
39202,321,8822
39203,322,10880
39204,320,19413
39205,320,14147
39206,323,13319
39208,324,11246
39209,325,8817
39210,324,17148
39211,320,12554
39212,320,15033
39301,321,1684
39302,322,1784
39303,322,1913
39304,322,1917
39305,322,899
39306,326,923
39307,322,2125
39341,327,2594
39344,328,4212
39363,327,2703
39364,327,383
39386,320,12503
39387,329,4417
39401,323,4196
39402,320,6746
39403,320,4043
39405,330,2446
39410,320,2631
39411,323,3507
39412,331,11218
39424,324,3443
39427,324,905
39428,324,7033
40100,332,387952
40130,333,416854
40202,334,58304
40203,335,114823
40204,336,23588
40205,336,50623
40206,337,23918
40207,335,30905
40210,335,34511
40211,335,16462
40212,335,19863
40213,332,21989
40214,338,11985
40215,332,17424
40216,335,15095
40217,333,21876
40218,333,24816
40219,333,23777
40220,333,23232
40221,333,17143
40223,333,14214
40224,333,15390
40225,339,15163
40226,336,12779
40227,336,19533
40228,339,27357
40229,335,20621
40230,333,26970
40305,333,9317
40341,333,9001
40342,333,7462
40343,333,12685
40344,333,7049
40345,333,5605
40348,333,3131
40349,333,10243
40381,332,6316
40382,332,9751
40383,332,9201
40384,332,5178
40401,336,3922
40402,336,7052
40421,336,5327
40447,339,8805
40448,339,1440
40503,335,5200
40522,335,5139
40544,335,6943
40601,337,5258
40602,337,5857
40604,337,3732
40605,337,7498
40608,337,2218
40609,337,1452
40610,337,8786
40621,332,11466
40625,332,9166
40642,338,2825
40646,338,3390
40647,332,9049
41201,340,89257
41202,341,57545
41203,342,21139
41204,340,11578
41205,343,26845
41206,340,22773
41207,344,14357
41208,340,15104
41209,344,13235
41210,340,12957
41327,342,5770
41341,342,4795
41345,342,2761
41346,342,10729
41387,341,3168
41401,343,10537
41423,340,3721
41424,340,3890
41425,340,13366
41441,344,4958
42201,345,183140
42202,346,107212
42203,347,22769
42204,345,47570
42205,346,24648
42207,348,18832
42208,348,12395
42209,349,18450
42210,350,15113
42211,351,20595
42212,345,15582
