year,cutoff,zone,municipalities,muni_names,resident_labour_force,mean_contained,labour_weighted_contained
1985,0.98,588,1,東国東郡姫島村,1346,0.9487369985141159,0.9487369985141159
1985,0.98,589,5,名瀬市; 大島郡大和村; 大島郡住用村; 大島郡龍郷町; 大島郡笠利町,23405,0.9870659492742732,0.9957701345866268
1985,0.98,590,1,大島郡宇検村,838,0.9856801909307876,0.9856801909307876
1985,0.98,591,1,大島郡瀬戸内町,4283,0.9911277142190054,0.9911277142190054
1985,0.98,592,3,西之表市; 熊毛郡中種子町; 熊毛郡南種子町,18880,0.9985227828273732,0.9984639830508475
1985,0.98,593,1,鹿児島郡三島村,194,1,1
1985,0.98,594,1,鹿児島郡十島村,347,0.9971181556195965,0.9971181556195965
1985,0.98,595,2,薩摩郡里村; 薩摩郡上甑村,1610,0.9979461403921456,0.9981366459627329
1985,0.98,596,1,薩摩郡下甑村,1106,0.9954792043399638,0.9954792043399638
1985,0.98,597,1,薩摩郡鹿島村,300,0.99,0.99
1985,0.98,598,2,熊毛郡上屋久町; 熊毛郡屋久町,5175,0.9998159057437408,0.9998067632850242
1985,0.98,599,1,大島郡喜界町,3488,0.997993119266055,0.997993119266055
1985,0.98,600,3,大島郡徳之島町; 大島郡天城町; 大島郡伊仙町,10781,0.9998001998001999,0.9997217326778592
1985,0.98,601,2,大島郡和泊町; 大島郡知名町,5938,0.9998416719442685,0.9998315931289997
1985,0.98,602,1,大島郡与論町,2288,0.9986888111888111,0.9986888111888111
1985,0.98,606,4,平良市; 宮古郡城辺町; 宮古郡下地町; 宮古郡上野村,16710,0.9938062076074151,0.9920406941950928
1985,0.98,607,1,石垣市,15368,0.9974622592399792,0.9974622592399792
1985,0.98,608,1,国頭郡伊江村,1847,1,1
1985,0.98,609,2,島尻郡仲里村; 島尻郡具志川村,3696,0.9985286905345758,0.9983766233766234
1985,0.98,610,1,島尻郡渡嘉敷村,317,1,1
1985,0.98,611,1,島尻郡座間味村,256,0.99609375,0.99609375
1985,0.98,612,1,島尻郡粟国村,280,1,1
1985,0.98,613,1,島尻郡渡名喜村,215,0.9906976744186047,0.9906976744186047
1985,0.98,614,1,島尻郡南大東村,713,1,1
1985,0.98,615,1,島尻郡北大東村,271,1,1
1985,0.98,616,1,島尻郡伊平屋村,536,1,1
1985,0.98,617,1,島尻郡伊是名村,731,0.9986320109439124,0.9986320109439124
1985,0.98,618,1,宮古郡伊良部町,2615,0.869980879541109,0.869980879541109
1985,0.98,619,1,宮古郡多良間村,598,0.9916387959866221,0.9916387959866221
1985,0.98,620,1,八重山郡竹富町,1529,0.9810333551340745,0.9810333551340745
1985,0.98,621,1,八重山郡与那国町,768,1,1
1985,0.977,79,1,檜山支庁奥尻町,1761,0.986939239068711,0.986939239068711
1985,0.977,80,1,宗谷支庁礼文町,2423,1,1
1985,0.977,81,2,宗谷支庁利尻町; 宗谷支庁東利尻町,4216,0.9988187154717891,0.9988140417457305
1985,0.977,578,1,大島支庁大島町,4129,0.9975781060789537,0.9975781060789537
1985,0.977,579,1,大島支庁利島村,155,1,1
1985,0.977,580,1,大島支庁新島本村,1360,1,1
1985,0.977,581,1,大島支庁神津島村,928,1,1
1985,0.977,582,1,三宅支庁三宅村,1747,0.9988551803091014,0.9988551803091014
1985,0.977,583,1,三宅支庁御蔵島村,94,1,1
1985,0.977,584,1,八丈支庁八丈町,3975,0.999245283018868,0.999245283018868
1985,0.977,585,1,八丈支庁青ヶ島村,117,0.9829059829059829,0.9829059829059829
1985,0.977,586,1,小笠原支庁小笠原村,1026,0.9990253411306043,0.9990253411306043
