municipality,cz,size
39428,272,6378
40100,276,385366
40130,277,497961
40202,278,50793
40203,279,115084
40204,280,23504
40205,280,51712
40206,281,21678
40207,279,31861
40210,279,34329
40211,279,17956
40212,279,19800
40213,276,24588
40214,282,11819
40215,276,17503
40216,279,17919
40217,277,26417
40218,277,34702
40219,277,30115
40220,277,27109
40221,277,21829
40223,277,17818
40224,277,17804
40225,279,14954
40226,280,12258
40227,280,18983
40228,279,27035
40229,279,20188
40230,277,31325
40305,277,14124
40341,277,12369
40342,277,8945
40343,277,14100
40344,277,8698
40345,277,6293
40348,277,3010
40349,277,12074
40381,276,6464
40382,276,10399
40383,276,9778
40384,276,6436
40401,280,3847
40402,280,7186
40421,280,5202
40447,279,10029
40448,283,1422
40503,279,5686
40522,279,5620
40544,279,7548
40601,281,5064
40602,281,5226
40604,281,3757
40605,281,7111
40608,281,1907
40609,281,1384
40610,281,8424
40621,276,12132
40625,276,9130
40642,282,2862
40646,282,3337
40647,276,8464
41201,284,96828
41202,285,57624
41203,284,22458
41204,285,10326
41205,286,26481
41206,286,23319
41207,286,14888
41208,284,16492
41209,286,13934
41210,284,13637
41327,284,6488
41341,284,5729
41345,284,3135
41346,284,11665
41387,285,3379
41401,286,10626
41423,286,3569
41424,286,3904
41425,286,13174
41441,286,5204
42201,287,184751
42202,288,106327
42203,289,22934
42204,287,54152
42205,288,27772
42207,290,17832
42208,290,12638
42209,291,17722
42210,292,14563
42211,293,18509
42212,287,14931
42213,287,22497
42214,289,24042
42307,287,12786
42308,287,9400
42321,288,4300
42322,288,6116
42323,288,7377
42383,294,1566
42391,288,4677
42411,295,10537
43100,296,268928
43202,296,60499
43203,297,16908
43204,278,20191
43205,298,13088
43206,278,29968
43208,278,26887
43210,296,22107
43211,296,13836
43212,299,14723
43213,296,26497
43214,300,14300
43215,299,43322
43216,296,16080
43348,296,5856
43364,278,2726
43367,278,5516
43368,278,6442
43369,278,5869
43403,296,9970
43404,296,9425
43423,301,2233
43424,301,4153
43425,300,857
43428,300,3290
43432,296,2209
43433,300,5137
43441,296,7157
43442,296,2975
43443,296,11678
43444,296,5378
43447,302,10288
43468,296,6110
43482,298,10029
43484,298,2266
43501,297,5190
43505,297,5880
43506,297,2364
43507,297,1298
43510,297,2544
43511,297,892
43512,297,1911
43513,297,2624
43514,297,8354
43531,299,3791
44201,303,166327
44202,303,51051
44203,282,33834
44204,283,34780
44205,304,34413
44206,304,19388
44207,304,9643
44208,303,13912
44209,282,11459
44210,303,13760
44211,282,25101
44212,303,19900
44213,303,13833
44214,305,15652
44322,305,1255
44341,303,9344
44461,283,5557
44462,283,8490
45201,306,148371
45202,307,70109
45203,308,58006
45204,309,27255
45205,310,22675
45206,308,26258
45207,309,10525
45208,306,16181
45209,310,10699
45341,307,8281
45361,310,5215
45382,306,9264
45383,306,3097
45401,306,8777
45402,306,7897
45403,311,788
45404,306,2606
45405,306,7975
45406,306,5730
45421,308,7585
45429,308,1264
45430,312,1897
45431,308,3883
45441,302,7277
45442,302,2808
45443,302,2277
46201,313,216474
46203,314,39941
46204,315,10246
46206,316,11122
46208,316,23373
46210,317,19434
46213,318,8197
46214,313,7928
46215,313,39469
46216,313,19437
46217,307,19878
46218,313,42533
46219,313,12620
46220,315,16775
46221,314,15140
46222,319,18576
46223,315,19157
46224,320,14186
46225,313,24098
46303,321,167
46304,322,333
46392,313,12295
46404,316,5479
46452,320,5160
46468,314,6846
46482,314,3419
46490,314,4697
46491,314,4351
46492,314,8122
46501,318,4436
46502,318,3145
46505,323,5217
46523,319,701
46524,319,811
46525,324,4108
46527,319,1881
46529,325,2994
46530,326,4674
46531,326,2491
46532,326,2769
46533,327,3192
46534,327,2649
46535,328,2272
47201,329,111631
47205,329,27228
47207,330,16160
47208,329,33527
47209,331,19095
47210,329,16667
47211,329,36823
47212,329,14548
47213,329,35333
47214,332,19712
47215,329,13486
47301,331,2177
47302,331,1139
47303,331,780
47306,331,3319
47308,331,5492
47311,329,3503
47313,331,1783
47314,331,3552
47315,333,2018
47324,329,11185
47325,329,4776
47326,329,7062
47327,329,4876
47328,329,4289
47329,329,8693
47348,329,4982
47350,329,10073
47353,334,269
47354,335,348
47355,336,304
47356,337,178
47357,338,619
47358,339,250
47359,340,504
47360,341,677
47361,342,3734
47362,329,7817
47375,343,636
47381,330,1660
47382,344,708
